iter	RMSE
0	1.091144556
1	1.032502044
2	0.9801077588
3	0.9313518677
4	0.8905734757
5	0.8553294975
6	0.8242458658
7	0.7971304455
8	0.7726711162
9	0.7506028983
10	0.7308863277
11	0.7098801418
12	0.6948827612
13	0.6775468182
14	0.6659789525
15	0.6521233718
16	0.6398663485
17	0.6319401149
18	0.6252889474
19	0.6155779548
20	0.6102032986
21	0.6055418631
22	0.6009035767
23	0.5944500201
24	0.5907395903
25	0.5862131312
26	0.580464762
27	0.5771254545
28	0.573303328
29	0.5704755218
30	0.5685044098
31	0.5649220083
32	0.5610529192
33	0.5568911194
34	0.5540615326
35	0.5505057384
36	0.5483091221
37	0.5440543046
38	0.5422924767
39	0.539891883
40	0.5374969254
41	0.5357633732
42	0.5338911849
43	0.5318608398
44	0.529759755
45	0.5288264466
46	0.5256258962
47	0.5244713767
48	0.5235255414
49	0.5226406208
50	0.5216085332
51	0.5206544378
52	0.5184745163
53	0.5169974466
54	0.5157039143
55	0.514482698
56	0.5135045708
57	0.5128195898
58	0.5109480717
59	0.5098612469
60	0.5087535868
61	0.5075033234
62	0.5058070631
63	0.5046688406
64	0.5023654738
65	0.5010023058
66	0.5003343999
67	0.4991739228
68	0.4979842024
69	0.4972518578
70	0.4964780431
71	0.49523268
72	0.4947189683
73	0.4937821291
74	0.4927300792
75	0.491287166
76	0.4905281518
77	0.4892237661
78	0.4881492604
79	0.4874143588
80	0.48572389
81	0.4846231902
82	0.4840025047
83	0.4827414217
84	0.4818108747
85	0.4811506504
86	0.4799774236
87	0.4793209951
88	0.4781082869
89	0.477427275
90	0.4767127924
91	0.4759779195
92	0.4749711828
93	0.4742887107
94	0.4736553489
95	0.4729311495
96	0.4721675338
97	0.4714903457
98	0.4705794021
99	0.4699179638
100	0.4689719276
101	0.4684008739
102	0.4678264521
103	0.4670902578
104	0.4664547436
105	0.4658948984
106	0.465277854
107	0.464417973
108	0.4638864968
109	0.4631233672
110	0.4623337113
111	0.4617347739
112	0.4611076594
113	0.4603518056
114	0.4598793045
115	0.4589543659
116	0.4582261489
117	0.4575221875
118	0.456961334
119	0.4563695203
120	0.455839771
121	0.4553035314
122	0.4544965688
123	0.4536632949
124	0.4530225522
125	0.452363401
126	0.4514391774
127	0.4506825925
128	0.4501117361
129	0.4495275256
130	0.4489352189
131	0.4482052009
132	0.447721176
133	0.4472342606
134	0.4467742969
135	0.4463591762
136	0.4457764412
137	0.445234825
138	0.4445168623
139	0.4439618388
140	0.443492622
141	0.4430100382
142	0.4426065684
