iter	Passed	Remaining
0	4	1792
1	9	1835
2	13	1750
3	17	1739
4	21	1724
5	25	1704
6	30	1694
7	34	1689
8	38	1686
9	43	1686
10	47	1686
11	51	1674
12	56	1671
13	59	1654
14	64	1654
15	68	1635
16	72	1635
17	76	1615
18	79	1600
19	83	1588
20	87	1586
21	91	1572
22	95	1557
23	98	1544
24	102	1539
25	106	1528
26	109	1514
27	113	1505
28	117	1497
29	120	1491
30	124	1481
31	128	1474
32	131	1465
33	140	1509
34	144	1502
35	147	1492
36	151	1489
37	155	1481
38	160	1487
39	164	1479
40	168	1474
41	171	1465
42	176	1463
43	180	1456
44	184	1456
45	188	1450
46	193	1452
47	197	1445
48	200	1439
49	204	1430
50	208	1425
51	211	1417
52	215	1411
53	219	1404
54	223	1399
55	226	1392
56	231	1393
57	235	1386
58	239	1383
59	243	1377
60	246	1372
61	250	1368
62	254	1362
63	258	1356
64	262	1350
65	265	1345
66	269	1340
67	273	1337
68	277	1331
69	281	1325
70	284	1318
71	288	1313
72	291	1306
73	295	1301
74	298	1294
75	302	1288
76	305	1281
77	308	1275
78	312	1268
79	315	1262
80	319	1257
81	322	1252
82	326	1248
83	330	1242
84	335	1243
85	339	1240
86	344	1237
87	347	1233
88	352	1232
89	356	1226
90	360	1223
91	364	1218
92	367	1213
93	371	1209
94	375	1205
95	379	1200
96	383	1199
97	387	1194
98	391	1189
99	394	1184
100	399	1182
101	404	1181
102	408	1177
103	411	1172
104	415	1168
105	419	1163
106	423	1161
107	427	1156
108	431	1151
109	434	1146
110	438	1142
111	442	1138
112	446	1134
113	450	1129
114	453	1124
115	457	1120
116	461	1116
117	465	1111
118	468	1106
119	472	1103
120	476	1099
121	480	1094
122	483	1089
123	488	1086
124	491	1081
125	495	1077
126	499	1072
127	502	1068
128	506	1064
129	510	1060
130	514	1056
131	518	1052
132	522	1048
133	525	1043
134	529	1038
135	533	1036
136	537	1031
137	541	1027
138	544	1022
139	548	1018
140	552	1014
141	555	1009
142	559	1006
143	563	1001
144	567	998
145	571	993
146	575	989
147	578	985
148	583	982
149	586	977
150	590	973
151	593	969
152	598	966
153	602	962
154	607	959
155	611	955
156	615	952
157	619	948
158	623	944
159	627	941
160	631	937
161	634	932
162	639	929
163	642	924
164	646	921
165	650	917
166	655	915
167	659	910
168	663	906
169	667	902
170	671	899
171	675	894
172	678	890
173	682	886
174	686	882
175	689	878
176	693	874
177	697	870
178	701	866
179	705	862
180	709	858
181	713	854
182	717	850
183	721	846
184	725	843
185	729	839
186	733	835
187	737	831
188	741	827
189	745	823
190	749	819
191	753	815
192	757	812
193	761	808
194	765	804
195	769	800
196	772	796
197	777	792
198	782	790
199	786	786
200	790	782
201	794	778
202	799	775
203	803	771
204	807	768
205	812	764
206	816	761
207	821	758
208	825	754
209	829	750
210	833	746
211	837	742
212	841	738
213	845	734
214	848	730
215	853	726
216	856	722
217	860	718
218	864	714
219	868	710
220	872	707
221	877	703
222	880	699
223	884	695
224	888	691
225	892	687
226	895	682
227	900	679
228	904	675
229	908	671
230	912	667
231	916	663
232	920	659
233	924	655
234	928	651
235	932	647
236	936	643
237	940	639
238	944	636
239	948	632
240	953	628
241	957	624
242	960	620
243	964	616
244	968	612
245	972	608
246	975	604
247	980	600
248	983	596
249	987	592
250	991	588
251	995	584
252	999	580
253	1003	576
254	1007	572
255	1011	568
256	1015	564
257	1019	561
258	1023	557
259	1027	553
260	1030	549
261	1035	545
262	1039	541
263	1042	537
264	1047	533
265	1051	529
266	1055	525
267	1059	521
268	1062	517
269	1066	513
270	1070	509
271	1074	505
272	1078	501
273	1082	497
274	1086	493
275	1090	489
276	1094	485
277	1098	482
278	1102	478
279	1106	474
280	1110	470
281	1113	466
282	1117	462
283	1121	458
284	1125	454
285	1129	450
286	1134	446
287	1138	442
288	1142	438
289	1147	435
290	1151	431
291	1155	427
292	1159	423
293	1163	419
294	1167	415
295	1171	411
296	1175	407
297	1178	403
298	1182	399
299	1186	395
300	1190	391
301	1194	387
302	1198	383
303	1202	379
304	1206	375
305	1211	372
306	1216	368
307	1221	364
308	1226	361
309	1231	357
310	1235	353
311	1239	349
312	1244	345
313	1248	341
314	1252	337
315	1256	333
316	1260	330
317	1264	326
318	1268	322
319	1271	317
320	1275	313
321	1279	309
322	1283	306
323	1287	302
324	1291	298
325	1295	293
326	1298	289
327	1302	285
328	1307	282
329	1310	278
330	1315	274
331	1319	270
332	1324	266
333	1327	262
334	1332	258
335	1336	254
336	1340	250
337	1343	246
338	1347	242
339	1351	238
340	1355	234
341	1359	230
342	1363	226
343	1367	222
344	1371	218
345	1375	214
346	1380	210
347	1387	207
348	1391	203
349	1395	199
350	1398	195
351	1403	191
352	1407	187
353	1410	183
354	1414	179
355	1418	175
356	1422	171
357	1426	167
358	1431	163
359	1435	159
360	1439	155
361	1443	151
362	1447	147
363	1451	143
364	1456	139
365	1460	135
366	1465	131
367	1469	127
368	1473	123
369	1477	119
370	1481	115
371	1485	111
372	1489	107
373	1493	103
374	1497	99
375	1500	95
376	1504	91
377	1508	87
378	1512	83
379	1516	79
380	1519	75
381	1523	71
382	1526	67
383	1530	63
384	1533	59
385	1537	55
386	1540	51
387	1543	47
388	1547	43
389	1550	39
390	1554	35
391	1557	31
392	1561	27
393	1564	23
394	1568	19
395	1572	15
396	1575	11
397	1579	7
398	1582	3
399	1585	0
